Q0,"title=title,authors=authors,average_rating=average_rating,isbn=isbn,isbn13=isbn13,language_code=language_code,num_pages=num_pages,ratings_count=ratings_count,text_reviews_count=text_reviews_count,publication_date=publication_date,publisher=publisher"
Q1,"title=Fully-configurable 4thgeneration interface,authors=Tommy Holland,average_rating=20,isbn=1-63527-226-2,isbn13=978-1-200-59779-8,language_code=unm,num_pages=548,ratings_count=69322,text_reviews_count=188,publication_date=2021-11-08,publisher=Anderson LLC"
Q2,"title=Open-source zero-defect neural-net,authors=Scott Diaz,average_rating=68,isbn=0-247-57483-X,isbn13=978-1-75785-265-4,language_code=ve,num_pages=313,ratings_count=2860,text_reviews_count=608,publication_date=2022-06-05,publisher=Murphy, Ortiz and Johnston"
Q3,"title=Balanced regional throughput,authors=Krystal Cooke,average_rating=32,isbn=1-4998-3786-0,isbn13=978-1-71379-706-7,language_code=my,num_pages=52,ratings_count=73735,text_reviews_count=381,publication_date=2020-11-10,publisher=Wagner-Alvarez"
Q4,"title=Robust optimal focus group,authors=Beth Pitts,average_rating=32,isbn=1-56761-345-4,isbn13=978-1-55146-393-3,language_code=ln,num_pages=821,ratings_count=56581,text_reviews_count=361,publication_date=2022-03-11,publisher=Wilson-Taylor"
Q5,"title=Managed needs-based Graphical User Interface,authors=Eileen Mendoza,average_rating=53,isbn=1-74740-249-4,isbn13=978-0-382-29256-9,language_code=gd,num_pages=882,ratings_count=95264,text_reviews_count=507,publication_date=2022-06-23,publisher=Scott Ltd"
Q6,"title=Fundamental scalable support,authors=Alyssa Wall,average_rating=85,isbn=0-7639-8772-7,isbn13=978-1-4102-4065-1,language_code=om,num_pages=204,ratings_count=43224,text_reviews_count=354,publication_date=2020-10-20,publisher=Paul PLC"
Q7,"title=Fully-configurable bifurcated intranet,authors=Brian Keith,average_rating=50,isbn=1-56267-041-7,isbn13=978-0-13-536992-0,language_code=bn,num_pages=850,ratings_count=45613,text_reviews_count=333,publication_date=2020-01-08,publisher=Klein and Sons"
Q8,"title=Diverse zero tolerance support,authors=Christopher Booth,average_rating=21,isbn=1-70122-395-3,isbn13=978-0-8390-5250-0,language_code=doi,num_pages=364,ratings_count=76537,text_reviews_count=486,publication_date=2022-07-12,publisher=Barajas-Greer"
Q9,"title=Multi-lateral modular Internet solution,authors=Angelica Ortiz,average_rating=55,isbn=1-5165-7587-3,isbn13=978-0-19-648968-1,language_code=nan,num_pages=275,ratings_count=70651,text_reviews_count=977,publication_date=2022-11-11,publisher=Gibbs-Ingram"
